slug,name,url
mia,"Mia's EPIC Site",miastonished.github.io
batashock,"Batashock",batashock.github.io
silver,"The Silver Shorthair Website",silvershorthair.github.io
sky,"Skysupercharged Website",skysupercharged.github.io
valaris,"Vaelaris",vaelaris.github.io
gumi,"GumiRing",gumi.gay
musent,"The Garden",garden.lgbt
jir0we,"~JIR0WE~",jir0we.github.io
flower,"Flower's site",flower1221.neocities.org
jemma,"Jemma's website",hiyajemma.github.io
xzan,"Xzan Corvus Co.",xzan-corvus.github.io
bugs,"ğŸ›",fabledbugs.github.io
wolf,"Main Page",wolfdragon245.github.io
command,"Command Center",commandtm.github.io
